IngroupVirtue,10
MoralityGeneral,9
HarmVirtue,6
IngroupVice,1
AuthorityVirtue,5
FairnessVirtue,8
HarmVice,3
AuthorityVice,2
PurityVice,1
FairnessVice,1
PurityVirtue,2
